id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000068,地方合作-清华大学,https://www.tsinghua.edu.cn/kxyj/kyhz/dfhz.htm,https://www.tsinghua.edu.cn/kxyj/kyhz/dfhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:29+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000068_地方合作-清华大学.md,1353,37355c8908315b6b4acd5dcf76004971b479d96571c83ac2a8436e9988e4b522
THU000069,企业合作-清华大学,https://www.tsinghua.edu.cn/kxyj/kyhz/qyhz.htm,https://www.tsinghua.edu.cn/kxyj/kyhz/qyhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:30+08:00,新生入校,public,public_web,public,knowledge/01_raw_public/THU000069_企业合作-清华大学.md,2590,0c1478fc378b5ea3ecbbb0d4d4f8a07c5f57f7e8ad70ba58d8f7590adb722854
THU000070,海外合作-清华大学,https://www.tsinghua.edu.cn/kxyj/kyhz/hwhz.htm,https://www.tsinghua.edu.cn/kxyj/kyhz/hwhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:32+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000070_海外合作-清华大学.md,6292,c0056090af6a8920824c08985338f0bf17f13bd1a6103eb9cb73b9bbd239208f
THU000071,获奖成果-清华大学,https://www.tsinghua.edu.cn/kxyj/kycg/hjcg.htm,https://www.tsinghua.edu.cn/kxyj/kycg/hjcg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:34+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000071_获奖成果-清华大学.md,4191,02602972c9c476abce45c0112518b483eee4ad8a8c13ca882b1ff8e415c3943e
THU000072,论文著作-清华大学,https://www.tsinghua.edu.cn/kxyj/kycg/lwzz.htm,https://www.tsinghua.edu.cn/kxyj/kycg/lwzz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:35+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000072_论文著作-清华大学.md,3452,812d5862c76955d4d73454abe2a6b787dab5475c1f5093c39801096ed1c771f7
THU000073,清华论坛-清华大学,https://www.tsinghua.edu.cn/kxyj/xsjl/qhlt.htm,https://www.tsinghua.edu.cn/kxyj/xsjl/qhlt.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:37+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000073_清华论坛-清华大学.md,15091,8d42d6b5167d4011d7a0e2f7e85f39b78a0627cb0d2926c0d663b8ce41e847eb
THU000074,国际会议-清华大学,https://www.tsinghua.edu.cn/kxyj/xsjl/gjhy.htm,https://www.tsinghua.edu.cn/kxyj/xsjl/gjhy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:39+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000074_国际会议-清华大学.md,1110,8202abb3eba0b9d40142387c2275f4cd6dbff97626f43ad310ca827e59b1c3fa
THU000075,学术期刊-清华大学,https://www.tsinghua.edu.cn/kxyj/xsjl/xsqk.htm,https://www.tsinghua.edu.cn/kxyj/xsjl/xsqk.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:41+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000075_学术期刊-清华大学.md,17695,635df22c80cf8cd626da19edc70811a953b5afbe346b17266339db7224a829bf
THU000076,清华研究生招生网,http://yz.tsinghua.edu.cn/,https://yz.tsinghua.edu.cn/,yz.tsinghua.edu.cn,,,,2026-08-09T19:20:43+08:00,规章制度,public,public_web,public,knowledge/01_raw_public/THU000076_清华研究生招生网.md,1966,1c8bce002ea1ecfec2952450522b7e168c1c62cbd4540fd331bb4c7e8b443256
THU000077,Admissions-Tsinghua University,https://www.tsinghua.edu.cn/en/Admissions.htm,https://www.tsinghua.edu.cn/en/Admissions.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:44+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000077_Admissions-Tsinghua University.md,4925,d367609dac9997b5c4fd342c6637dcf001454f004e5017b19852df88824578f9
THU000078,全面合作-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/qmhz.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/qmhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:48+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000078_全面合作-清华大学.md,896,499dabddcbfe337230e22666da4f24ff1d2541defe1309413882796b80710bf1
THU000079,科研合作-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/kyhz.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/kyhz.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:48+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000079_科研合作-清华大学.md,959,fbae72e8a52dfb5579ec7aeb87992fd9d184eb9849488a97953c96c4969aa6da
